latitude,longitude,rainfall_mm_hr,reliability_flag
19.75,81.45,1.496628,0
19.85,81.45,1.1567172,0
19.95,81.45,0.0,0
20.05,81.45,0.0,0
20.15,81.45,0.0,0
20.25,81.45,0.0,0
20.35,81.45,0.0,0
20.45,81.45,0.0,0
20.55,81.45,0.0,0
20.65,81.45,0.0,0
20.75,81.45,0.0,0
20.85,81.45,0.0,0
20.95,81.45,0.0,0
21.05,81.45,0.0,0
21.15,81.45,0.0,0
21.25,81.45,0.0,0
21.35,81.45,0.0,0
21.45,81.45,0.0,0
21.55,81.45,0.0,0
21.65,81.45,0.0,0
21.75,81.45,0.0,0
21.85,81.45,0.0,0
21.95,81.45,0.0,0
22.05,81.45,0.0,0
22.15,81.45,0.0,0
22.25,81.45,0.0,0
22.35,81.45,0.0,0
22.45,81.45,0.0,0
22.55,81.45,0.0,0
22.65,81.45,0.0,0
22.75,81.45,0.0,0
17.55,81.55,1.3145899,0
17.65,81.55,0.0,0
17.75,81.55,0.0,0
17.85,81.55,0.0,0
17.95,81.55,0.0,0
18.05,81.55,0.0,0
18.15,81.55,0.0,0
18.25,81.55,0.0,0
18.35,81.55,0.0,0
18.45,81.55,0.0,0
18.55,81.55,0.0,0
18.65,81.55,0.0,0
18.75,81.55,0.0,0
18.85,81.55,0.0,0
18.95,81.55,0.0,0
19.05,81.55,0.9066596,0
19.15,81.55,1.1538701,0
19.25,81.55,1.4223022,0
19.35,81.55,1.3370466,0
19.45,81.55,0.0,0
19.55,81.55,1.7597711,0
19.65,81.55,1.8571242,0
19.75,81.55,1.7396276,0
19.85,81.55,0.0,0
19.95,81.55,0.0,0
20.05,81.55,0.0,0
20.15,81.55,0.0,0
20.25,81.55,0.0,0
20.35,81.55,0.0,0
20.45,81.55,0.0,0
20.55,81.55,0.0,0
20.65,81.55,0.0,0
20.75,81.55,0.0,0
20.85,81.55,0.0,0
20.95,81.55,0.0,0
21.05,81.55,0.0,0
21.15,81.55,0.0,0
21.25,81.55,0.0,0
21.35,81.55,0.0,0
21.45,81.55,0.0,0
21.55,81.55,0.0,0
21.65,81.55,0.0,0
21.75,81.55,0.0,0
21.85,81.55,0.0,0
21.95,81.55,0.0,0
22.05,81.55,0.0,0
22.15,81.55,0.0,0
22.25,81.55,0.0,0
22.35,81.55,0.0,0
22.45,81.55,0.0,0
22.55,81.55,0.0,0
22.65,81.55,0.0,0
22.75,81.55,0.0,0
17.55,81.65,1.6300294,0
17.65,81.65,0.0,0
17.75,81.65,0.0,0
17.85,81.65,0.0,0
17.95,81.65,0.0,0
18.05,81.65,0.0,0
18.15,81.65,0.0,0
18.25,81.65,0.0,0
18.35,81.65,0.0,0
18.45,81.65,0.0,0
18.55,81.65,0.0,0
18.65,81.65,0.0,0
18.75,81.65,0.0,0
18.85,81.65,0.0,0
18.95,81.65,0.0,0
19.05,81.65,0.9767306,0
19.15,81.65,1.210051,0
19.25,81.65,1.4036252,0
19.35,81.65,1.3035682,0
19.45,81.65,1.6115172,0
19.55,81.65,2.4766026,0
19.65,81.65,2.477045,0
19.75,81.65,1.917869,0
19.85,81.65,1.197652,0
19.95,81.65,0.0,0
20.05,81.65,0.0,0
20.15,81.65,0.0,0
20.25,81.65,0.0,0
20.35,81.65,0.0,0
20.45,81.65,0.0,0
20.55,81.65,0.0,0
20.65,81.65,0.0,0
20.75,81.65,0.0,0
20.85,81.65,0.0,0
20.95,81.65,0.0,0
21.05,81.65,0.0,0
21.15,81.65,0.0,0
21.25,81.65,0.0,0
21.35,81.65,0.0,0
21.45,81.65,0.0,0
21.55,81.65,0.0,0
21.65,81.65,0.0,0
21.75,81.65,0.0,0
21.85,81.65,0.0,0
21.95,81.65,0.0,0
22.05,81.65,0.0,0
22.15,81.65,0.0,0
22.25,81.65,0.0,0
22.35,81.65,0.0,0
22.45,81.65,0.0,0
22.55,81.65,0.0,0
22.65,81.65,0.0,0
22.75,81.65,0.0,0
17.55,81.75,1.999746,0
17.65,81.75,1.2425314,0
17.75,81.75,0.0,0
17.85,81.75,0.0,0
17.95,81.75,0.0,0
18.05,81.75,0.0,0
18.15,81.75,0.0,0
18.25,81.75,0.0,0
18.35,81.75,0.0,0
18.45,81.75,0.0,0
18.55,81.75,0.0,0
18.65,81.75,0.0,0
18.75,81.75,0.0,0
18.85,81.75,0.0,0
18.95,81.75,0.8281407,0
19.05,81.75,1.0905269,0
19.15,81.75,1.1434932,0
19.25,81.75,1.2922648,0
19.35,81.75,1.6931659,0
19.45,81.75,3.0213215,0
19.55,81.75,3.9044862,0
19.65,81.75,3.9313402,0
19.75,81.75,2.693753,0
19.85,81.75,1.546416,0
19.95,81.75,0.0,0
20.05,81.75,0.0,0
20.15,81.75,0.0,0
20.25,81.75,0.0,0
20.35,81.75,0.0,0
20.45,81.75,0.0,0
20.55,81.75,0.0,0
20.65,81.75,0.0,0
20.75,81.75,0.0,0
20.85,81.75,0.0,0
20.95,81.75,0.0,0
21.05,81.75,0.1318489,0
21.15,81.75,0.14529628,0
21.25,81.75,0.0,0
21.35,81.75,0.0,0
21.45,81.75,0.0,0
21.55,81.75,0.0,0
21.65,81.75,0.0,0
21.75,81.75,0.0,0
21.85,81.75,0.0,0
21.95,81.75,0.0,0
22.05,81.75,0.0,0
22.15,81.75,0.0,0
22.25,81.75,0.0,0
